,quantity,size,price,name,category,month,day_name,hour,total_price,time_category
0,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,13,20.75,Lunch
1,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,13,20.75,Lunch
2,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,15,20.75,Afternoon
3,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,15,20.75,Afternoon
4,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,18,20.75,Dinner
5,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,22,20.75,Late Night
6,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,22,20.75,Late Night
7,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,17,20.75,Afternoon
8,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,20,20.75,Dinner
9,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,21,20.75,Dinner
10,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,12,20.75,Lunch
11,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,14,20.75,Lunch
12,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,16,20.75,Afternoon
13,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,20,20.75,Dinner
14,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,21,20.75,Dinner
15,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,22,20.75,Late Night
16,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Monday,17,20.75,Afternoon
17,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Tuesday,17,20.75,Afternoon
18,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Tuesday,18,20.75,Dinner
19,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,19,20.75,Dinner
20,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,19,20.75,Dinner
21,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,14,20.75,Lunch
22,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,14,20.75,Lunch
23,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,17,20.75,Afternoon
24,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,18,20.75,Dinner
25,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,12,20.75,Lunch
26,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,18,20.75,Dinner
27,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,20,20.75,Dinner
28,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,17,20.75,Afternoon
29,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Monday,12,20.75,Lunch
30,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Monday,13,20.75,Lunch
31,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Monday,17,20.75,Afternoon
32,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Monday,18,20.75,Dinner
33,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Tuesday,12,20.75,Lunch
34,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Tuesday,13,20.75,Lunch
35,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Tuesday,18,20.75,Dinner
36,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Tuesday,19,20.75,Dinner
37,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,14,20.75,Lunch
38,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,19,20.75,Dinner
39,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,12,20.75,Lunch
40,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,17,20.75,Afternoon
41,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,18,20.75,Dinner
42,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,11,20.75,Lunch
43,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,15,20.75,Afternoon
44,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,17,20.75,Afternoon
45,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,13,20.75,Lunch
46,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,14,20.75,Lunch
47,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,17,20.75,Afternoon
48,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,20,20.75,Dinner
49,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,21,20.75,Dinner
50,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,21,20.75,Dinner
51,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,21,20.75,Dinner
52,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,11,20.75,Lunch
53,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,14,20.75,Lunch
54,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Monday,12,20.75,Lunch
55,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Monday,12,20.75,Lunch
56,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Monday,13,20.75,Lunch
57,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,18,20.75,Dinner
58,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,14,20.75,Lunch
59,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,17,20.75,Afternoon
60,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,17,20.75,Afternoon
61,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,19,20.75,Dinner
62,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,21,20.75,Dinner
63,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,21,20.75,Dinner
64,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,13,20.75,Lunch
65,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,14,20.75,Lunch
66,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,14,20.75,Lunch
67,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,15,20.75,Afternoon
68,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Sunday,20,20.75,Dinner
69,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Monday,16,20.75,Afternoon
70,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Tuesday,13,20.75,Lunch
71,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Tuesday,15,20.75,Afternoon
72,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,11,20.75,Lunch
73,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,12,20.75,Lunch
74,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,13,20.75,Lunch
75,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,15,20.75,Afternoon
76,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,15,20.75,Afternoon
77,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,16,20.75,Afternoon
78,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Wednesday,18,20.75,Dinner
79,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,11,20.75,Lunch
80,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,13,20.75,Lunch
81,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,13,20.75,Lunch
82,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,13,20.75,Lunch
83,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Thursday,15,20.75,Afternoon
84,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,12,20.75,Lunch
85,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,12,20.75,Lunch
86,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,13,20.75,Lunch
87,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,16,20.75,Afternoon
88,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Friday,21,20.75,Dinner
89,1,L,20.75,The Barbecue Chicken Pizza,Chicken,January,Saturday,13,20.75,Lunch
90,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Sunday,15,20.75,Afternoon
91,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Sunday,17,20.75,Afternoon
92,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Sunday,19,20.75,Dinner
93,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Sunday,21,20.75,Dinner
94,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Monday,13,20.75,Lunch
95,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Monday,22,20.75,Late Night
96,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Tuesday,18,20.75,Dinner
97,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Wednesday,13,20.75,Lunch
98,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Wednesday,14,20.75,Lunch
99,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Wednesday,16,20.75,Afternoon
100,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Wednesday,17,20.75,Afternoon
101,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Wednesday,19,20.75,Dinner
102,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Thursday,13,20.75,Lunch
103,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Thursday,17,20.75,Afternoon
104,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Thursday,18,20.75,Dinner
105,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Thursday,20,20.75,Dinner
106,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,12,20.75,Lunch
107,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,16,20.75,Afternoon
108,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,16,20.75,Afternoon
109,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,18,20.75,Dinner
110,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Saturday,14,20.75,Lunch
111,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Sunday,19,20.75,Dinner
112,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Monday,17,20.75,Afternoon
113,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Monday,18,20.75,Dinner
114,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Tuesday,11,20.75,Lunch
115,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Tuesday,20,20.75,Dinner
116,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Thursday,12,20.75,Lunch
117,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Thursday,12,20.75,Lunch
118,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Thursday,12,20.75,Lunch
119,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Thursday,15,20.75,Afternoon
120,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,12,20.75,Lunch
121,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,12,20.75,Lunch
122,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,13,20.75,Lunch
123,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,13,20.75,Lunch
124,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,14,20.75,Lunch
125,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,18,20.75,Dinner
126,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Friday,19,20.75,Dinner
127,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Saturday,14,20.75,Lunch
128,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Saturday,15,20.75,Afternoon
129,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Saturday,17,20.75,Afternoon
130,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Saturday,18,20.75,Dinner
131,1,L,20.75,The Barbecue Chicken Pizza,Chicken,February,Saturday,22,20.75,Late Night
